Longitude,Latitude,Pixel,Scan
27.0362046,61.2277381,0,0
27.0683974,61.2272855,100,0
27.1005872,61.2268253,200,0
27.1327739,61.2263575,300,0
27.1649577,61.2258821,400,0
27.1971388,61.2253991,500,0
27.2293172,61.2249086,600,0
27.261493,61.2244105,700,0
27.2936664,61.2239047,800,0
27.3258375,61.2233914,900,0
27.3580065,61.2228706,1000,0
27.3901733,61.2223421,1100,0
27.4223382,61.221806,1200,0
27.4545013,61.2212624,1300,0
27.4866626,61.2207112,1400,0
27.5188223,61.2201523,1500,0
27.5509806,61.2195859,1600,0
27.5831374,61.2190119,1700,0
27.6152931,61.2184303,1800,0
27.6474475,61.2178411,1900,0
27.679601,61.2172443,2000,0
27.7117536,61.2166399,2100,0
27.7439054,61.2160278,2200,0
27.7760565,61.2154082,2300,0
27.8082071,61.214781,2400,0
27.8403573,61.2141461,2500,0
27.8725071,61.2135037,2600,0
27.9046568,61.2128536,2700,0
27.9368063,61.2121959,2800,0
27.968956,61.2115305,2900,0
28.0011057,61.2108576,3000,0
28.0332558,61.210177,3100,0
28.0654062,61.2094888,3200,0
28.0975572,61.2087929,3300,0
28.1297087,61.2080894,3400,0
28.1618611,61.2073783,3500,0
28.1940143,61.2066595,3600,0
28.2261684,61.205933,3700,0
28.2583237,61.2051989,3800,0
28.2904802,61.2044571,3900,0
28.3223164,61.2037152,3999,0
27.0350657,61.211181,0,100
27.0672439,61.2107285,100,100
27.099419,61.2102685,200,100
27.1315911,61.2098009,300,100
27.1637603,61.2093258,400,100
27.1959267,61.208843,500,100
27.2280904,61.2083527,600,100
27.2602516,61.2078548,700,100
27.2924104,61.2073493,800,100
27.3245668,61.2068362,900,100
27.3567211,61.2063156,1000,100
27.3888733,61.2057873,1100,100
27.4210236,61.2052515,1200,100
27.453172,61.2047081,1300,100
27.4853187,61.2041571,1400,100
27.5174638,61.2035985,1500,100
27.5496074,61.2030324,1600,100
27.5817497,61.2024586,1700,100
27.6138907,61.2018773,1800,100
27.6460306,61.2012883,1900,100
27.6781694,61.2006918,2000,100
27.7103074,61.2000876,2100,100
27.7424446,61.1994759,2200,100
27.7745811,61.1988566,2300,100
27.8067171,61.1982296,2400,100
27.8388527,61.1975951,2500,100
27.8709879,61.1969529,2600,100
27.903123,61.1963031,2700,100
27.935258,61.1956457,2800,100
27.967393,61.1949807,2900,100
27.9995282,61.194308,3000,100
28.0316636,61.1936278,3100,100
28.0637995,61.1929399,3200,100
28.0959359,61.1922443,3300,100
28.1280729,61.1915411,3400,100
28.1602106,61.1908303,3500,100
28.1923492,61.1901119,3600,100
28.2244888,61.1893857,3700,100
28.2566295,61.188652,3800,100
28.2887714,61.1879106,3900,100
28.3205932,61.187169,3999,100
27.0339183,61.1946266,0,200
27.0660819,61.1941743,100,200
27.0982423,61.1937145,200,200
27.1303998,61.1932472,300,200
27.1625543,61.1927722,400,200
27.1947061,61.1922897,500,200
27.2268552,61.1917996,600,200
27.2590018,61.1913019,700,200
27.2911459,61.1907966,800,200
27.3232878,61.1902838,900,200
27.3554275,61.1897634,1000,200
27.3875651,61.1892354,1100,200
27.4197007,61.1886998,1200,200
27.4518345,61.1881567,1300,200
27.4839666,61.1876059,1400,200
27.5160971,61.1870476,1500,200
27.5482262,61.1864817,1600,200
27.5803538,61.1859082,1700,200
27.6124802,61.1853271,1800,200
27.6446055,61.1847385,1900,200
27.6767298,61.1841422,2000,200
27.7088532,61.1835384,2100,200
27.7409758,61.1829269,2200,200
27.7730977,61.1823079,2300,200
27.8052191,61.1816812,2400,200
27.8373401,61.181047,2500,200
27.8694608,61.1804051,2600,200
27.9015813,61.1797556,2700,200
27.9337017,61.1790985,2800,200
27.9658221,61.1784338,2900,200
27.9979428,61.1777615,3000,200
28.0300637,61.1770816,3100,200
28.0621849,61.176394,3200,200
28.0943068,61.1756988,3300,200
28.1264292,61.174996,3400,200
28.1585524,61.1742855,3500,200
28.1906764,61.1735674,3600,200
28.2228015,61.1728416,3700,200
28.2549276,61.1721082,3800,200
28.287055,61.1713671,3900,200
28.3188624,61.1706259,3999,200
27.0327764,61.1780691,0,300
27.0649254,61.1776171,100,300
27.0970712,61.1771575,200,300
27.129214,61.1766903,300,300
27.161354,61.1762156,400,300
27.1934911,61.1757332,500,300
27.2256256,61.1752434,600,300
27.2577576,61.1747459,700,300
27.2898872,61.1742409,800,300
27.3220144,61.1737283,900,300
27.3541395,61.1732081,1000,300
27.3862625,61.1726804,1100,300
27.4183835,61.172145,1200,300
27.4505028,61.1716021,1300,300
27.4826203,61.1710517,1400,300
27.5147362,61.1704936,1500,300
27.5468506,61.169928,1600,300
27.5789637,61.1693547,1700,300
27.6110756,61.1687739,1800,300
27.6431863,61.1681856,1900,300
27.675296,61.1675896,2000,300
27.7074048,61.166986,2100,300
27.7395128,61.1663748,2200,300
27.7716202,61.1657561,2300,300
27.803727,61.1651297,2400,300
27.8358334,61.1644958,2500,300
27.8679396,61.1638542,2600,300
27.9000455,61.1632051,2700,300
27.9321513,61.1625483,2800,300
27.9642572,61.1618839,2900,300
27.9963633,61.1612119,3000,300
28.0284696,61.1605323,3100,300
28.0605764,61.159845,3200,300
28.0926837,61.1591502,3300,300
28.1247915,61.1584477,3400,300
28.1569002,61.1577375,3500,300
28.1890097,61.1570198,3600,300
28.2211202,61.1562944,3700,300
28.2532318,61.1555613,3800,300
28.2853446,61.1548206,3900,300
28.3171377,61.1540797,3999,300
27.0316255,61.1615108,0,400
27.0637599,61.1610589,100,400
27.0958911,61.1605995,200,400
27.1280193,61.1601326,300,400
27.1601447,61.1596581,400,400
27.1922673,61.159176,500,400
27.2243872,61.1586863,600,400
27.2565046,61.1581891,700,400
27.2886195,61.1576843,800,400
27.3207322,61.157172,900,400
27.3528427,61.1566521,1000,400
27.3849511,61.1561246,1100,400
27.4170576,61.1555895,1200,400
27.4491623,61.1550469,1300,400
27.4812652,61.1544966,1400,400
27.5133666,61.1539389,1500,400
27.5454665,61.1533735,1600,400
27.577565,61.1528006,1700,400
27.6096622,61.15222,1800,400
27.6417584,61.1516319,1900,400
27.6738535,61.1510362,2000,400
27.7059478,61.150433,2100,400
27.7380413,61.1498221,2200,400
27.7701341,61.1492037,2300,400
27.8022264,61.1485776,2400,400
27.8343183,61.147944,2500,400
27.8664098,61.1473027,2600,400
27.8985012,61.1466539,2700,400
27.9305925,61.1459974,2800,400
27.9626839,61.1453334,2900,400
27.9947754,61.1446617,3000,400
28.0268672,61.1439824,3100,400
28.0589594,61.1432955,3200,400
28.0910521,61.142601,3300,400
28.1231455,61.1418988,3400,400
28.1552396,61.141189,3500,400
28.1873346,61.1404716,3600,400
28.2194306,61.1397466,3700,400
28.2515277,61.1390139,3800,400
28.2836259,61.1382736,3900,400
28.3154046,61.1375331,3999,400
27.0304791,61.1449557,0,500
27.0625988,61.144504,100,500
27.0947155,61.1440449,200,500
27.1268292,61.1435781,300,500
27.1589399,61.1431038,400,500
27.1910479,61.1426219,500,500
27.2231533,61.1421325,600,500
27.2552561,61.1416355,700,500
27.2873565,61.141131,800,500
27.3194547,61.1406188,900,500
27.3515506,61.1400991,1000,500
27.3836445,61.1395719,1100,500
27.4157364,61.1390371,1200,500
27.4478265,61.1384947,1300,500
27.4799149,61.1379447,1400,500
27.5120017,61.1373872,1500,500
27.544087,61.1368221,1600,500
27.576171,61.1362494,1700,500
27.6082537,61.1356692,1800,500
27.6403354,61.1350813,1900,500
27.672416,61.1344859,2000,500
27.7044957,61.1338829,2100,500
27.7365746,61.1332723,2200,500
27.7686529,61.1326542,2300,500
27.8007307,61.1320284,2400,500
27.832808,61.1313951,2500,500
27.8648851,61.1307541,2600,500
27.8969619,61.1301056,2700,500
27.9290387,61.1294495,2800,500
27.9611156,61.1287857,2900,500
27.9931926,61.1281144,3000,500
28.0252699,61.1274354,3100,500
28.0573475,61.1267488,3200,500
28.0894258,61.1260546,3300,500
28.1215046,61.1253528,3400,500
28.1535842,61.1246434,3500,500
28.1856647,61.1239263,3600,500
28.2177461,61.1232016,3700,500
28.2498287,61.1224693,3800,500
28.2819125,61.1217293,3900,500
28.3136768,61.1209892,3999,500
27.0293359,61.1283987,0,600
27.0614411,61.1279473,100,600
27.0935432,61.1274883,200,600
27.1256423,61.1270218,300,600
27.1577385,61.1265477,400,600
27.189832,61.1260661,500,600
27.2219228,61.1255769,600,600
27.2540111,61.1250801,700,600
27.2860969,61.1245758,800,600
27.3181805,61.1240639,900,600
27.3502619,61.1235445,1000,600
27.3823412,61.1230175,1100,600
27.4144186,61.122483,1200,600
27.4464942,61.1219408,1300,600
27.4785681,61.1213911,1400,600
27.5106403,61.1208339,1500,600
27.5427112,61.1202691,1600,600
27.5747806,61.1196967,1700,600
27.6068488,61.1191167,1800,600
27.6389159,61.1185292,1900,600
27.670982,61.1179341,2000,600
27.7030472,61.1173314,2100,600
27.7351116,61.1167211,2200,600
27.7671754,61.1161032,2300,600
27.7992387,61.1154778,2400,600
27.8313015,61.1148448,2500,600
27.863364,61.1142041,2600,600
27.8954264,61.1135559,2700,600
27.9274887,61.1129001,2800,600
27.959551,61.1122367,2900,600
27.9916135,61.1115657,3000,600
28.0236763,61.1108871,3100,600
28.0557395,61.1102008,3200,600
28.0878032,61.109507,3300,600
28.1198676,61.1088055,3400,600
28.1519327,61.1080964,3500,600
28.1839987,61.1073797,3600,600
28.2160657,61.1066554,3700,600
28.2481337,61.1059234,3800,600
28.280203,61.1051838,3900,600
28.311953,61.104444,3999,600
27.0281989,61.1118416,0,700
27.0602896,61.1113904,100,700
27.0923771,61.1109316,200,700
27.1244617,61.1104653,300,700
27.1565433,61.1099914,400,700
27.1886222,61.10951,500,700
27.2206985,61.1090211,600,700
27.2527723,61.1085245,700,700
27.2848436,61.1080205,800,700
27.3169126,61.1075088,900,700
27.3489795,61.1069896,1000,700
27.3810443,61.1064629,1100,700
27.4131072,61.1059286,1200,700
27.4451682,61.1053867,1300,700
27.4772276,61.1048373,1400,700
27.5092853,61.1042803,1500,700
27.5413416,61.1037157,1600,700
27.5733966,61.1031436,1700,700
27.6054503,61.1025639,1800,700
27.6375029,61.1019766,1900,700
27.6695544,61.1013818,2000,700
27.7016051,61.1007794,2100,700
27.7336551,61.1001694,2200,700
27.7657044,61.0995519,2300,700
27.7977531,61.0989267,2400,700
27.8298015,61.098294,2500,700
27.8618495,61.0976537,2600,700
27.8938974,61.0970058,2700,700
27.9259452,61.0963503,2800,700
27.957993,61.0956872,2900,700
27.9900411,61.0950165,3000,700
28.0220894,61.0943382,3100,700
28.0541381,61.0936523,3200,700
28.0861873,61.0929588,3300,700
28.1182372,61.0922576,3400,700
28.1502879,61.0915489,3500,700
28.1823394,61.0908325,3600,700
28.2143919,61.0901086,3700,700
28.2464455,61.0893769,3800,700
28.2785004,61.0886377,3900,700
28.310236,61.0878983,3999,700
27.0270576,61.0952853,0,800
27.0591337,61.0948343,100,800
27.0912068,61.0943758,200,800
27.1232768,61.0939097,300,800
27.155344,61.093436,400,800
